AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR,VI,US
0.006822619,0,0.003843537,0.00554881,0.004000733,0.003154365,0.0044,0.005414286,0.004738095,0.010029932,0.008144048,0,0.002866667,0.003227381,0.003395238,0.002700794,0.003653571,0.004395238,0.009228572,0.002219048,0.002631502,0.002717007,0.003169048,0.002866667,0.004685714,0.003569841,0.002851429,0.006809524,0.001708929,0.003258333,0.004711111,0.003775595,0.004738095,0.003226191,0.002512925,0.001688889,0.007109524,0.00400381,0.003309524,0.004814286,0.007466667,0.002255238,0.005171429,0.006409273,0.003122222,0.002533333,0.004908571,0.003634014,0.003880952,0.002476984,0.003034921,0,0,0.004221112
0.007157143,0,0.00375102,0.00615,0.004112088,0.003103968,0.0045,0.005452381,0.004495238,0.0105,0.008210714,0,0.002953571,0.004325,0.004326191,0.003250794,0.003870238,0.004863095,0.009304762,0.002142857,0.002716484,0.002682993,0.003360952,0.00285,0.004735714,0.003449206,0.002958095,0.006561905,0.00184881,0.003667857,0.005134921,0.003747619,0.004495238,0.003307143,0.002742177,0.00186746,0.007457143,0.004925714,0.003463492,0.004890476,0.007302381,0.002293333,0.005630952,0.006238597,0.003116667,0.002530952,0.004716191,0.003580272,0.003785714,0.002757143,0.003019445,0,0,0.004373553
0.006746429,0,0.004034014,0.006226191,0.003820147,0.003213095,0.004938095,0.005990476,0.0053,0.010630612,0.008169048,0,0.002776191,0.004476191,0.004704762,0.003001587,0.004056548,0.005280952,0.00875873,0.002268254,0.002574359,0.002563265,0.003151905,0.00307381,0.005257143,0.003656085,0.003431429,0.007161905,0.001842262,0.0042,0.005566667,0.003425,0.0053,0.003590476,0.002943537,0.0018,0.006988095,0.005170476,0.00412381,0.005257143,0.007735714,0.002177143,0.005664286,0.006398246,0.003161111,0.00287381,0.005406667,0.003340136,0.004538095,0.002746825,0.002995635,0,0,0.004540946
0.00679881,0,0.003842177,0.006396429,0.003821612,0.003099603,0.005080952,0.006033333,0.0054,0.010797279,0.007955952,0,0.002739286,0.004438095,0.004811905,0.00279127,0.003397619,0.005584524,0.008830159,0.002657143,0.002457509,0.002419728,0.003109524,0.003407143,0.005288095,0.003785185,0.003527619,0.007120238,0.001742857,0.004315476,0.005128571,0.003430952,0.0054,0.003852381,0.002881633,0.001697619,0.00725,0.004888571,0.004155556,0.005557143,0.007759524,0.002108571,0.005983333,0.006457394,0.003129365,0.003121429,0.005611429,0.003443537,0.004730952,0.002684921,0.002759127,0,0,0.004564929
0.007097619,0,0.003921769,0.005727381,0.003661905,0.002976191,0.004780952,0.005790476,0.005233333,0.010726531,0.008104762,0,0.002654762,0.003683333,0.004090476,0.002560318,0.003193452,0.005072619,0.009434921,0.002757143,0.002534432,0.002493197,0.003044762,0.003354762,0.005064286,0.003664021,0.003490476,0.007259524,0.001780952,0.003947619,0.004461905,0.003390476,0.005233333,0.003754762,0.002821769,0.001686508,0.007514286,0.004125714,0.003990476,0.005176191,0.007819048,0.002180952,0.005688095,0.006145614,0.00306746,0.003121429,0.00550381,0.003279592,0.004559524,0.00257381,0.002731349,0,0,0.004427104
0.007233333,0,0.003868027,0.00589881,0.003474359,0.002820238,0.004566667,0.005490476,0.004814286,0.010089796,0.008425,0,0.002577381,0.003560714,0.003933333,0.002429365,0.003015476,0.004852381,0.009668254,0.002696825,0.002389377,0.002340816,0.002922381,0.003266667,0.004785714,0.00361746,0.003142857,0.007089286,0.001681548,0.003577381,0.004404762,0.003476786,0.004814286,0.003566667,0.002512245,0.001611111,0.007616667,0.004004762,0.003571429,0.005061905,0.007880952,0.002044762,0.005571429,0.006210025,0.002944444,0.002904762,0.005119048,0.003356463,0.004154762,0.002402381,0.002523016,0,0,0.004285324
0.007075,0,0.003695238,0.005315476,0.003880952,0.002924603,0.004676191,0.005738095,0.005,0.009814966,0.008385714,0,0.002857143,0.003351191,0.003740476,0.002356349,0.002930357,0.004622619,0.00915873,0.002526984,0.002746886,0.002429932,0.00318381,0.003061905,0.00495,0.003432804,0.00294381,0.007195238,0.0018875,0.003454762,0.003836508,0.003820833,0.005,0.00342381,0.002453061,0.001638889,0.007247619,0.003659048,0.0035,0.005166667,0.007866667,0.002176191,0.00542381,0.005652632,0.00297381,0.002621429,0.005209524,0.00374966,0.004209524,0.002362698,0.002814683,0,0,0.004247832
0.006501191,0,0.003810204,0.005279762,0.00414652,0.003215476,0.004590476,0.005547619,0.004857143,0.010362585,0.007858333,0,0.003120833,0.003446429,0.003685714,0.002663492,0.003316071,0.00437381,0.008488889,0.002214286,0.002815018,0.002832653,0.003378095,0.00287381,0.004833333,0.003526984,0.003051429,0.006825,0.002005357,0.003460714,0.004342857,0.00396131,0.004857143,0.003330952,0.002543537,0.001924603,0.00657381,0.003895238,0.003633333,0.005042857,0.007342857,0.002438095,0.005019048,0.005558396,0.003193651,0.002552381,0.004909524,0.003827211,0.004011905,0.002530952,0.003173016,0,0,0.004239671
0.006615476,0,0.003744218,0.005417857,0.004244322,0.003212302,0.004557143,0.005457143,0.0047,0.010242177,0.007508333,0,0.003041667,0.003310714,0.00367381,0.002726984,0.003364881,0.004442857,0.008771429,0.002363492,0.002750916,0.002760544,0.003472381,0.002983333,0.004764286,0.003524339,0.003042857,0.006633333,0.001748214,0.003441667,0.004366667,0.003769643,0.0047,0.003404762,0.002597279,0.001683333,0.007045238,0.003859048,0.003528571,0.005004762,0.007216667,0.002227619,0.005175,0.005895739,0.003234921,0.002647619,0.004730476,0.003710884,0.003807143,0.002477778,0.003049206,0,0,0.004217327
0.006215476,0,0.003778231,0.005814286,0.004210989,0.003262302,0.004095238,0.004938095,0.004052381,0.009608844,0.007047619,0,0.003057143,0.003157143,0.00332381,0.002562698,0.003284524,0.004175,0.00888254,0.002292064,0.002886081,0.002768027,0.00355,0.002830952,0.004266667,0.003334392,0.002704762,0.00619881,0.002075595,0.002959524,0.004446032,0.0039,0.004052381,0.003169048,0.002330612,0.001824603,0.006964286,0.003919048,0.002996825,0.00462381,0.006764286,0.002461905,0.005026191,0.005992481,0.003392064,0.002461905,0.004276191,0.003628571,0.003338095,0.002311905,0.003096825,0,0,0.004047148
