date,year,week,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR
2020-08-08,2020,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,2020,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-05,2020,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-12,2020,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-19,2020,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,2020,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,2020,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,2020,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,2020,42,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-10-24,2020,43,241,3,0,1,4,9,0,0,0,0,21,8,0,1,1,0,1,6,12,0,0,0,0,7,0,6,8,0,0,5,0,4,1,6,7,2,2,12,0,5,2,1,2,20,66,0,0,0,0,0,0,0,16
2020-10-31,2020,44,472,18,0,2,8,30,0,0,0,1,21,18,0,0,4,0,2,8,7,1,0,1,3,13,0,5,2,1,0,53,0,8,5,12,12,0,1,9,0,7,3,3,0,30,134,1,0,21,0,1,1,1,22
2020-11-07,2020,45,521,21,0,10,14,27,3,0,0,1,30,14,0,0,7,6,9,2,11,5,0,2,6,9,1,13,8,1,2,3,0,4,10,10,8,1,3,9,1,16,2,3,1,28,177,1,0,19,0,2,9,0,11
2020-11-14,2020,46,653,25,0,21,10,41,5,1,0,0,38,34,0,1,3,8,16,3,15,23,0,3,3,11,30,14,11,1,3,1,0,1,7,11,8,7,4,16,0,4,0,2,2,44,171,1,1,22,2,1,4,0,18
2020-11-21,2020,47,608,11,0,17,6,39,5,2,0,0,34,30,0,0,5,8,4,4,11,8,0,4,1,16,8,6,8,1,1,6,1,13,0,19,18,0,2,8,0,6,0,7,1,50,184,0,1,23,2,7,0,0,30
2020-11-28,2020,48,684,17,0,13,13,76,3,0,0,0,46,10,1,0,11,5,9,4,16,7,0,3,1,5,1,12,16,0,0,2,0,4,1,20,19,1,4,11,2,3,0,6,0,38,221,0,0,33,3,4,4,0,37
2020-12-05,2020,49,660,12,2,19,7,47,2,2,0,0,31,13,0,1,6,3,1,7,20,10,0,0,3,8,1,11,15,0,2,10,0,14,0,21,9,4,7,21,0,16,0,8,1,24,247,0,0,27,3,9,0,0,15
2020-12-12,2020,50,643,6,4,33,12,54,5,0,0,0,38,19,0,1,2,6,3,4,12,21,0,0,1,6,0,8,7,0,4,11,0,10,1,31,11,2,6,7,0,11,0,4,2,21,217,4,0,30,3,2,1,0,22
2020-12-19,2020,51,768,35,7,11,12,53,5,3,0,0,34,20,0,2,3,11,4,10,33,17,0,2,3,11,0,11,17,1,4,7,0,14,4,36,8,0,5,23,0,6,0,7,2,23,264,0,0,24,1,5,2,0,28
2020-12-26,2020,52,755,19,1,8,9,70,5,0,0,0,50,21,0,2,3,6,2,1,20,17,0,2,4,10,1,19,10,1,2,3,0,9,2,37,10,2,14,10,0,9,0,10,1,41,265,0,0,39,3,5,2,0,10
2021-01-02,2020,53,743,20,0,44,20,51,0,1,0,0,31,36,0,0,8,4,7,1,5,16,0,4,7,5,0,5,6,0,0,17,1,10,1,21,15,0,21,22,2,14,0,13,0,34,250,1,0,37,0,4,0,0,7
2021-01-09,2021,1,606,33,0,9,20,75,0,1,0,1,40,22,0,2,10,6,2,2,7,4,0,10,3,6,1,28,13,0,2,9,0,11,3,11,12,1,11,20,0,16,0,5,1,26,127,0,0,30,2,6,0,0,16
2021-01-16,2021,2,655,42,0,14,17,45,4,1,3,0,48,40,0,2,4,5,7,9,7,5,0,4,3,6,1,29,8,0,4,13,0,6,3,18,24,2,7,9,0,19,0,5,0,34,124,1,0,49,0,0,1,12,20
2021-01-23,2021,3,716,22,0,3,13,40,5,0,0,1,50,25,0,0,1,8,1,1,3,20,0,3,3,6,0,14,9,0,1,2,1,9,10,19,4,0,6,3,0,21,0,6,0,26,337,0,0,28,0,0,0,0,15
2021-01-30,2021,4,555,46,0,2,21,24,5,0,0,2,41,33,0,0,1,6,3,1,13,20,0,4,0,3,12,14,6,0,1,5,1,9,2,23,10,1,8,9,0,11,0,9,0,39,123,0,0,18,0,0,3,0,26
2021-02-06,2021,5,505,37,0,3,9,18,2,0,0,0,52,16,0,0,8,10,2,0,2,12,0,0,3,2,0,10,7,0,0,2,0,11,4,20,4,0,6,9,0,10,0,4,0,44,146,0,1,27,0,0,5,0,16
2021-02-13,2021,6,463,33,0,3,19,24,1,0,0,0,51,30,0,0,1,8,1,4,2,12,1,1,1,0,0,9,4,0,1,0,1,7,4,13,3,0,9,2,1,18,0,5,2,30,120,0,0,26,1,0,1,0,13
2021-02-20,2021,7,481,29,0,4,16,16,1,0,0,0,42,33,0,0,1,6,4,5,0,7,1,1,3,1,5,15,13,0,5,5,1,9,1,21,8,0,12,9,0,9,0,7,1,29,108,0,0,23,2,0,12,0,16
2021-02-27,2021,8,428,31,0,5,10,22,0,0,0,0,41,18,0,0,2,1,0,0,5,19,0,1,2,4,8,7,15,1,7,6,0,12,1,10,8,0,11,14,1,14,0,9,1,13,79,0,0,27,3,0,2,0,17
2021-03-06,2021,9,438,29,0,15,10,14,8,0,0,0,43,12,0,0,2,3,0,0,15,8,2,1,2,3,18,13,6,0,4,0,0,5,1,14,4,0,12,10,0,5,0,6,0,22,82,0,0,33,5,0,1,0,30
2021-03-13,2021,10,454,23,0,0,21,14,2,0,0,0,25,14,0,1,0,3,2,6,12,11,0,3,5,2,8,18,2,0,5,13,0,10,0,17,5,0,7,3,0,11,0,7,0,32,120,0,0,12,1,1,1,1,36
2021-03-20,2021,11,377,28,0,4,13,10,0,0,0,0,55,39,0,2,0,3,0,0,2,1,1,0,5,0,0,10,2,0,0,2,0,11,1,11,6,0,5,5,0,9,0,3,0,24,50,0,0,25,3,0,2,1,44
