location,year,week,total_specimens,total_A,total_B,percent_positive,percent_A,percent_B
Alabama,2010,40,54,0,0,0,0,0
Alaska,2010,40,40,0,0,0,0,0
Arizona,2010,40,40,1,0,2.5,2.5,0
Arkansas,2010,40,15,0,0,0,0,0
California,2010,40,183,5,1,3.28,2.73,0.55
Colorado,2010,40,126,1,0,0.79,0.79,0
Connecticut,2010,40,54,0,0,0,0,0
Delaware,2010,40,75,3,0,4,4,0
District of Columbia,2010,40,14,0,0,0,0,0
Florida,2010,40,318,17,14,9.75,5.35,4.4
Georgia,2010,40,209,0,2,0.96,0,0.96
Hawaii,2010,40,83,9,0,10.84,10.84,0
Idaho,2010,40,X,0,X,X,X,X
Illinois,2010,40,44,0,0,0,0,0
Indiana,2010,40,88,0,0,0,0,0
Iowa,2010,40,46,0,0,0,0,0
Kansas,2010,40,X,0,X,X,X,X
Kentucky,2010,40,48,1,0,2.08,2.08,0
Louisiana,2010,40,121,4,0,3.31,3.31,0
Maine,2010,40,X,0,X,X,X,X
Maryland,2010,40,13,0,0,0,0,0
Massachusetts,2010,40,21,0,0,0,0,0
Michigan,2010,40,X,0,X,X,X,X
Minnesota,2010,40,51,1,0,1.96,1.96,0
Mississippi,2010,40,12,0,0,0,0,0
Missouri,2010,40,160,0,0,0,0,0
Montana,2010,40,21,0,0,0,0,0
Nebraska,2010,40,20,0,0,0,0,0
Nevada,2010,40,X,0,X,X,X,X
New Hampshire,2010,40,10,1,0,10,10,0
New Jersey,2010,40,X,0,X,X,X,X
New Mexico,2010,40,X,0,X,X,X,X
New York,2010,40,300,3,0,1,1,0
North Carolina,2010,40,X,0,X,X,X,X
North Dakota,2010,40,36,1,0,2.78,2.78,0
Ohio,2010,40,61,0,0,0,0,0
Oklahoma,2010,40,36,0,0,0,0,0
Oregon,2010,40,18,0,0,0,0,0
Pennsylvania,2010,40,176,0,1,0.57,0,0.57
Rhode Island,2010,40,X,0,X,X,X,X
South Carolina,2010,40,66,1,0,1.52,1.52,0
South Dakota,2010,40,21,0,0,0,0,0
Tennessee,2010,40,52,0,1,1.92,0,1.92
Texas,2010,40,301,1,1,0.66,0.33,0.33
Utah,2010,40,166,3,1,2.41,1.81,0.6
Vermont,2010,40,X,0,X,X,X,X
Virginia,2010,40,24,0,1,4.17,0,4.17
Washington,2010,40,126,1,1,1.59,0.79,0.79
West Virginia,2010,40,150,0,0,0,0,0
Wisconsin,2010,40,93,0,0,0,0,0
Wyoming,2010,40,26,0,0,0,0,0
Puerto Rico,2010,40,X,0,X,X,X,X
Virgin Islands,2010,40,0,0,0,0,X,X
New York City,2010,40,X,0,X,X,X,X
Alabama,2010,41,46,0,0,0,0,0
Alaska,2010,41,38,0,0,0,0,0
Arizona,2010,41,47,1,2,6.38,2.13,4.26
Arkansas,2010,41,20,0,1,5,0,5
California,2010,41,163,0,2,1.23,0,1.23
Colorado,2010,41,157,2,0,1.27,1.27,0
Connecticut,2010,41,57,1,0,1.75,1.75,0
Delaware,2010,41,73,1,0,1.37,1.37,0
District of Columbia,2010,41,X,0,X,X,X,X
Florida,2010,41,421,41,17,13.78,9.74,4.04
Georgia,2010,41,223,1,3,1.79,0.45,1.35
Hawaii,2010,41,217,14,3,7.83,6.45,1.38
Idaho,2010,41,X,0,X,X,X,X
Illinois,2010,41,40,4,0,10,10,0
Indiana,2010,41,97,0,0,0,0,0
Iowa,2010,41,46,0,0,0,0,0
Kansas,2010,41,10,0,0,0,0,0
Kentucky,2010,41,51,2,0,3.92,3.92,0
Louisiana,2010,41,130,2,0,1.54,1.54,0
Maine,2010,41,X,0,X,X,X,X
Maryland,2010,41,13,0,0,0,0,0
Massachusetts,2010,41,15,0,0,0,0,0
Michigan,2010,41,X,0,X,X,X,X
Minnesota,2010,41,64,2,0,3.13,3.13,0
Mississippi,2010,41,X,0,X,X,X,X
Missouri,2010,41,168,0,0,0,0,0
Montana,2010,41,X,0,X,X,X,X
Nebraska,2010,41,17,0,0,0,0,0
Nevada,2010,41,X,0,X,X,X,X
New Hampshire,2010,41,X,0,X,X,X,X
New Jersey,2010,41,X,0,X,X,X,X
New Mexico,2010,41,14,0,0,0,0,0
New York,2010,41,262,1,1,0.76,0.38,0.38
North Carolina,2010,41,14,0,0,0,0,0
North Dakota,2010,41,38,1,0,2.63,2.63,0
Ohio,2010,41,63,0,0,0,0,0
Oklahoma,2010,41,29,0,0,0,0,0
Oregon,2010,41,20,0,0,0,0,0
Pennsylvania,2010,41,164,0,0,0,0,0
Rhode Island,2010,41,X,0,X,X,X,X
South Carolina,2010,41,85,0,1,1.18,0,1.18
South Dakota,2010,41,31,0,0,0,0,0
Tennessee,2010,41,66,0,0,0,0,0
Texas,2010,41,426,7,5,2.82,1.64,1.17
Utah,2010,41,186,10,0,5.38,5.38,0
Vermont,2010,41,X,0,X,X,X,X
Virginia,2010,41,32,0,0,0,0,0
Washington,2010,41,145,0,0,0,0,0
West Virginia,2010,41,122,0,0,0,0,0
Wisconsin,2010,41,84,0,0,0,0,0
Wyoming,2010,41,28,0,0,0,0,0
Puerto Rico,2010,41,X,0,X,X,X,X
Virgin Islands,2010,41,0,0,0,0,X,X
New York City,2010,41,X,0,X,X,X,X
Alabama,2010,42,55,0,1,1.82,0,1.82
Alaska,2010,42,21,0,0,0,0,0
Arizona,2010,42,56,1,0,1.79,1.79,0
Arkansas,2010,42,14,0,0,0,0,0
California,2010,42,174,2,3,2.87,1.15,1.72
Colorado,2010,42,153,1,0,0.65,0.65,0
Connecticut,2010,42,71,1,0,1.41,1.41,0
Delaware,2010,42,87,1,0,1.15,1.15,0
District of Columbia,2010,42,24,0,0,0,0,0
Florida,2010,42,460,54,20,16.09,11.74,4.35
Georgia,2010,42,158,2,5,4.43,1.27,3.16
Hawaii,2010,42,214,14,3,7.94,6.54,1.4
Idaho,2010,42,X,0,X,X,X,X
Illinois,2010,42,37,1,0,2.7,2.7,0
Indiana,2010,42,87,0,0,0,0,0
Iowa,2010,42,42,0,0,0,0,0
Kansas,2010,42,10,1,0,10,10,0
Kentucky,2010,42,52,0,0,0,0,0
Louisiana,2010,42,96,0,2,2.08,0,2.08
Maine,2010,42,X,0,X,X,X,X
Maryland,2010,42,21,0,1,4.76,0,4.76
Massachusetts,2010,42,14,0,0,0,0,0
Michigan,2010,42,X,0,X,X,X,X
Minnesota,2010,42,61,0,0,0,0,0
Mississippi,2010,42,X,0,X,X,X,X
Missouri,2010,42,175,1,0,0.57,0.57,0
Montana,2010,42,X,0,X,X,X,X
Nebraska,2010,42,12,0,0,0,0,0
Nevada,2010,42,X,0,X,X,X,X
New Hampshire,2010,42,20,0,0,0,0,0
New Jersey,2010,42,X,0,X,X,X,X
New Mexico,2010,42,16,0,0,0,0,0
New York,2010,42,327,2,0,0.61,0.61,0
North Carolina,2010,42,17,0,0,0,0,0
North Dakota,2010,42,23,0,0,0,0,0
Ohio,2010,42,58,0,0,0,0,0
Oklahoma,2010,42,43,0,0,0,0,0
Oregon,2010,42,14,0,0,0,0,0
Pennsylvania,2010,42,145,1,0,0.69,0.69,0
Rhode Island,2010,42,X,0,X,X,X,X
South Carolina,2010,42,100,0,0,0,0,0
South Dakota,2010,42,34,0,0,0,0,0
Tennessee,2010,42,73,1,0,1.37,1.37,0
Texas,2010,42,390,6,6,3.08,1.54,1.54
Utah,2010,42,192,1,0,0.52,0.52,0
Vermont,2010,42,X,0,X,X,X,X
Virginia,2010,42,35,1,2,8.57,2.86,5.71
Washington,2010,42,161,0,0,0,0,0
West Virginia,2010,42,169,0,0,0,0,0
Wisconsin,2010,42,88,1,0,1.14,1.14,0
Wyoming,2010,42,33,1,0,3.03,3.03,0
Puerto Rico,2010,42,X,0,X,X,X,X
Virgin Islands,2010,42,0,0,0,0,X,X
New York City,2010,42,X,0,X,X,X,X
Alabama,2010,43,64,2,3,7.81,3.13,4.69
Alaska,2010,43,37,0,0,0,0,0
Arizona,2010,43,44,1,1,4.55,2.27,2.27
Arkansas,2010,43,15,1,0,6.67,6.67,0
California,2010,43,168,3,0,1.79,1.79,0
Colorado,2010,43,162,3,0,1.85,1.85,0
Connecticut,2010,43,77,1,1,2.6,1.3,1.3
Delaware,2010,43,95,0,0,0,0,0
District of Columbia,2010,43,15,0,0,0,0,0
Florida,2010,43,471,48,29,16.35,10.19,6.16
Georgia,2010,43,234,0,7,2.99,0,2.99
Hawaii,2010,43,133,13,3,12.03,9.77,2.26
Idaho,2010,43,X,0,X,X,X,X
Illinois,2010,43,49,0,0,0,0,0
Indiana,2010,43,96,0,0,0,0,0
Iowa,2010,43,47,1,0,2.13,2.13,0
Kansas,2010,43,11,0,0,0,0,0
Kentucky,2010,43,48,0,0,0,0,0
Louisiana,2010,43,102,5,0,4.9,4.9,0
Maine,2010,43,X,0,X,X,X,X
Maryland,2010,43,34,1,0,2.94,2.94,0
Massachusetts,2010,43,22,1,0,4.55,4.55,0
Michigan,2010,43,X,0,X,X,X,X
Minnesota,2010,43,95,5,0,5.26,5.26,0
Mississippi,2010,43,X,0,X,X,X,X
Missouri,2010,43,186,0,0,0,0,0
Montana,2010,43,X,0,X,X,X,X
Nebraska,2010,43,33,0,0,0,0,0
Nevada,2010,43,X,0,X,X,X,X
New Hampshire,2010,43,17,0,0,0,0,0
New Jersey,2010,43,X,0,X,X,X,X
New Mexico,2010,43,19,0,0,0,0,0
New York,2010,43,294,4,0,1.36,1.36,0
North Carolina,2010,43,10,0,0,0,0,0
North Dakota,2010,43,30,0,0,0,0,0
Ohio,2010,43,65,1,0,1.54,1.54,0
Oklahoma,2010,43,44,1,0,2.27,2.27,0
Oregon,2010,43,16,0,0,0,0,0
Pennsylvania,2010,43,159,2,0,1.26,1.26,0
Rhode Island,2010,43,X,0,X,X,X,X
South Carolina,2010,43,109,0,0,0,0,0
South Dakota,2010,43,28,0,0,0,0,0
Tennessee,2010,43,59,1,0,1.69,1.69,0
Texas,2010,43,390,4,6,2.56,1.03,1.54
Utah,2010,43,212,9,1,4.72,4.25,0.47
Vermont,2010,43,X,0,X,X,X,X
Virginia,2010,43,39,0,0,0,0,0
Washington,2010,43,170,5,1,3.53,2.94,0.59
West Virginia,2010,43,150,0,0,0,0,0
Wisconsin,2010,43,89,1,0,1.12,1.12,0
Wyoming,2010,43,35,0,0,0,0,0
Puerto Rico,2010,43,X,0,X,X,X,X
Virgin Islands,2010,43,0,0,0,0,X,X
New York City,2010,43,X,0,X,X,X,X
Alabama,2010,44,69,4,7,15.94,5.8,10.14
Alaska,2010,44,32,0,0,0,0,0
Arizona,2010,44,67,1,0,1.49,1.49,0
Arkansas,2010,44,17,1,0,5.88,5.88,0
California,2010,44,229,3,4,3.06,1.31,1.75
Colorado,2010,44,163,2,0,1.23,1.23,0
Connecticut,2010,44,68,0,0,0,0,0
Delaware,2010,44,96,0,0,0,0,0
District of Columbia,2010,44,X,0,X,X,X,X
Florida,2010,44,530,62,48,20.75,11.7,9.06
Georgia,2010,44,353,1,27,7.93,0.28,7.65
Hawaii,2010,44,184,6,4,5.43,3.26,2.17
Idaho,2010,44,X,0,X,X,X,X
Illinois,2010,44,51,2,0,3.92,3.92,0
Indiana,2010,44,89,0,0,0,0,0
Iowa,2010,44,64,0,1,1.56,0,1.56
Kansas,2010,44,14,1,0,7.14,7.14,0
Kentucky,2010,44,49,2,0,4.08,4.08,0
Louisiana,2010,44,114,4,2,5.26,3.51,1.75
Maine,2010,44,11,0,0,0,0,0
Maryland,2010,44,32,1,0,3.13,3.13,0
Massachusetts,2010,44,21,1,0,4.76,4.76,0
Michigan,2010,44,X,0,X,X,X,X
Minnesota,2010,44,86,1,0,1.16,1.16,0
Mississippi,2010,44,X,0,X,X,X,X
Missouri,2010,44,178,1,0,0.56,0.56,0
Montana,2010,44,10,0,0,0,0,0
Nebraska,2010,44,17,0,0,0,0,0
Nevada,2010,44,X,0,X,X,X,X
New Hampshire,2010,44,19,1,0,5.26,5.26,0
New Jersey,2010,44,X,0,X,X,X,X
New Mexico,2010,44,22,0,0,0,0,0
New York,2010,44,360,8,1,2.5,2.22,0.28
North Carolina,2010,44,17,0,0,0,0,0
North Dakota,2010,44,27,1,0,3.7,3.7,0
Ohio,2010,44,54,1,0,1.85,1.85,0
Oklahoma,2010,44,39,0,0,0,0,0
Oregon,2010,44,17,0,0,0,0,0
Pennsylvania,2010,44,161,5,2,4.35,3.11,1.24
Rhode Island,2010,44,X,0,X,X,X,X
South Carolina,2010,44,73,0,0,0,0,0
South Dakota,2010,44,21,0,0,0,0,0
Tennessee,2010,44,70,0,0,0,0,0
Texas,2010,44,395,5,6,2.78,1.27,1.52
Utah,2010,44,270,22,2,8.89,8.15,0.74
Vermont,2010,44,X,0,X,X,X,X
Virginia,2010,44,56,0,0,0,0,0
Washington,2010,44,135,1,1,1.48,0.74,0.74
West Virginia,2010,44,129,0,0,0,0,0
Wisconsin,2010,44,117,2,0,1.71,1.71,0
Wyoming,2010,44,32,0,0,0,0,0
Puerto Rico,2010,44,X,0,X,X,X,X
Virgin Islands,2010,44,0,0,0,0,X,X
New York City,2010,44,X,0,X,X,X,X
Alabama,2010,45,107,2,11,12.15,1.87,10.28
Alaska,2010,45,45,1,1,4.44,2.22,2.22
Arizona,2010,45,82,2,1,3.66,2.44,1.22
Arkansas,2010,45,19,2,0,10.53,10.53,0
California,2010,45,213,2,5,3.29,0.94,2.35
Colorado,2010,45,212,5,0,2.36,2.36,0
Connecticut,2010,45,64,1,0,1.56,1.56,0
Delaware,2010,45,105,1,0,0.95,0.95,0
District of Columbia,2010,45,X,0,X,X,X,X
Florida,2010,45,630,94,67,25.56,14.92,10.63
Georgia,2010,45,426,3,64,15.73,0.7,15.02
Hawaii,2010,45,183,2,1,1.64,1.09,0.55
Idaho,2010,45,X,0,X,X,X,X
Illinois,2010,45,36,1,0,2.78,2.78,0
Indiana,2010,45,99,0,0,0,0,0
Iowa,2010,45,73,0,0,0,0,0
Kansas,2010,45,17,0,0,0,0,0
Kentucky,2010,45,45,4,0,8.89,8.89,0
Louisiana,2010,45,181,4,2,3.31,2.21,1.1
Maine,2010,45,X,0,X,X,X,X
Maryland,2010,45,30,0,0,0,0,0
Massachusetts,2010,45,14,0,0,0,0,0
Michigan,2010,45,X,0,X,X,X,X
Minnesota,2010,45,107,5,0,4.67,4.67,0
Mississippi,2010,45,15,0,3,20,0,20
Missouri,2010,45,190,0,0,0,0,0
Montana,2010,45,13,0,0,0,0,0
Nebraska,2010,45,21,0,0,0,0,0
Nevada,2010,45,X,0,X,X,X,X
New Hampshire,2010,45,19,0,0,0,0,0
New Jersey,2010,45,X,0,X,X,X,X
New Mexico,2010,45,20,0,0,0,0,0
New York,2010,45,407,14,0,3.44,3.44,0
North Carolina,2010,45,21,1,0,4.76,4.76,0
North Dakota,2010,45,79,0,0,0,0,0
Ohio,2010,45,68,3,0,4.41,4.41,0
Oklahoma,2010,45,46,0,0,0,0,0
Oregon,2010,45,32,0,0,0,0,0
Pennsylvania,2010,45,177,5,0,2.82,2.82,0
Rhode Island,2010,45,X,0,X,X,X,X
South Carolina,2010,45,117,2,2,3.42,1.71,1.71
South Dakota,2010,45,19,0,0,0,0,0
Tennessee,2010,45,86,0,0,0,0,0
Texas,2010,45,499,5,4,1.8,1,0.8
Utah,2010,45,270,21,1,8.15,7.78,0.37
Vermont,2010,45,X,0,X,X,X,X
Virginia,2010,45,60,0,0,0,0,0
Washington,2010,45,162,1,0,0.62,0.62,0
West Virginia,2010,45,171,3,0,1.75,1.75,0
Wisconsin,2010,45,109,1,0,0.92,0.92,0
Wyoming,2010,45,32,0,0,0,0,0
Puerto Rico,2010,45,X,0,X,X,X,X
Virgin Islands,2010,45,0,0,0,0,X,X
New York City,2010,45,X,0,X,X,X,X
Alabama,2010,46,97,1,16,17.53,1.03,16.49
Alaska,2010,46,32,0,0,0,0,0
Arizona,2010,46,69,1,0,1.45,1.45,0
Arkansas,2010,46,25,1,0,4,4,0
California,2010,46,275,2,11,4.73,0.73,4
Colorado,2010,46,154,3,0,1.95,1.95,0
Connecticut,2010,46,84,3,0,3.57,3.57,0
Delaware,2010,46,81,1,0,1.23,1.23,0
District of Columbia,2010,46,17,1,0,5.88,5.88,0
Florida,2010,46,685,83,69,22.19,12.12,10.07
Georgia,2010,46,628,9,110,18.95,1.43,17.52
Hawaii,2010,46,194,2,6,4.12,1.03,3.09
Idaho,2010,46,X,0,X,X,X,X
Illinois,2010,46,29,3,0,10.34,10.34,0
Indiana,2010,46,89,0,0,0,0,0
Iowa,2010,46,60,0,0,0,0,0
Kansas,2010,46,13,0,0,0,0,0
Kentucky,2010,46,45,4,0,8.89,8.89,0
Louisiana,2010,46,162,7,2,5.56,4.32,1.23
Maine,2010,46,X,0,X,X,X,X
Maryland,2010,46,42,6,0,14.29,14.29,0
Massachusetts,2010,46,16,1,0,6.25,6.25,0
Michigan,2010,46,X,0,X,X,X,X
Minnesota,2010,46,100,10,0,10,10,0
Mississippi,2010,46,13,0,4,30.77,0,30.77
Missouri,2010,46,191,0,0,0,0,0
Montana,2010,46,X,0,X,X,X,X
Nebraska,2010,46,33,0,2,6.06,0,6.06
Nevada,2010,46,18,3,0,16.67,16.67,0
New Hampshire,2010,46,17,0,0,0,0,0
New Jersey,2010,46,X,0,X,X,X,X
New Mexico,2010,46,18,0,1,5.56,0,5.56
New York,2010,46,421,26,0,6.18,6.18,0
North Carolina,2010,46,21,0,2,9.52,0,9.52
North Dakota,2010,46,37,0,0,0,0,0
Ohio,2010,46,58,6,0,10.34,10.34,0
Oklahoma,2010,46,68,1,3,5.88,1.47,4.41
Oregon,2010,46,16,0,0,0,0,0
Pennsylvania,2010,46,204,12,0,5.88,5.88,0
Rhode Island,2010,46,X,0,X,X,X,X
South Carolina,2010,46,118,1,1,1.69,0.85,0.85
South Dakota,2010,46,32,0,0,0,0,0
Tennessee,2010,46,91,0,0,0,0,0
