year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR,US
2010,4785437,713910,6407172,2921964,37319502,5047349,3579114,899593,605226,18845537,9711881,1363963,1570746,12840503,6490432,3050745,2858190,4348181,4544532,1327629,5788645,6566307,9877510,5310828,2970548,5995974,990697,1829542,2702405,1316762,8799446,2064552,19399878,9574323,674715,11539336,3759944,3837491,12711160,1053959,4635649,816166,6355311,25241971,2775332,625879,8023699,6742830,1854239,5690475,564487,3721525,313043191
2011,4799069,722128,6472643,2940667,37638369,5121108,3588283,907381,619800,19053237,9802431,1379329,1583910,12867454,6516528,3066336,2869225,4369821,4575625,1328284,5839419,6613583,9882412,5346143,2978731,6010275,997316,1840672,2712730,1320202,8828117,2080450,19499241,9657592,685225,11544663,3788379,3872036,12745815,1053649,4671994,823579,6399291,25645629,2814384,627049,8101155,6826627,1856301,5705288,567299,3678732,315235606
2012,4815588,730443,6554978,2952164,37948800,5192647,3594547,915179,634924,19297822,9901430,1394804,1595324,12882510,6537703,3076190,2885257,4386346,4600972,1327729,5886992,6663005,9897145,5376643,2983816,6024367,1003783,1853303,2743996,1324232,8844942,2087309,19572932,9749476,701176,11548923,3818814,3899001,12767118,1054621,4717354,833566,6453898,26084481,2853375,626090,8185080,6897058,1856872,5719960,576305,3634488,317465478
2013,4830081,737068,6632764,2959400,38260787,5269035,3594841,923576,650581,19545621,9972479,1408243,1611206,12895129,6568713,3092997,2893212,4404659,4624527,1328009,5923188,6713315,9913065,5413479,2988711,6040715,1013569,1865279,2775970,1326622,8856972,2092273,19624447,9843336,722036,11576684,3853214,3922468,12776309,1055081,4764080,842316,6494340,26480266,2897640,626210,8252427,6963985,1853914,5736754,582122,3593077,319586792
2014,4841799,736283,6730413,2967392,38596972,5350101,3594524,932487,662328,19845911,10067278,1414538,1631112,12884493,6593644,3109350,2900475,4414349,4644013,1330513,5957283,6762596,9929848,5451079,2990468,6056202,1021869,1879321,2817628,1333341,8864525,2089568,19651049,9932887,737401,11602700,3878187,3963244,12788313,1055936,4823617,849129,6541223,26964333,2936879,625214,8310993,7054655,1849489,5751525,582531,3534874,321835882
2015,4852347,737498,6829676,2978048,38918045,5450623,3587122,941252,675400,20209042,10178447,1422052,1651059,12858913,6608422,3120960,2909011,4425976,4664628,1328262,5985562,6794228,9931715,5482032,2988471,6071732,1030475,1891277,2866939,1336350,8867949,2089291,19654666,10031646,754066,11617527,3909500,4015792,12784826,1056065,4891938,853988,6591170,27470056,2981835,625216,8361808,7163657,1842050,5760940,585613,3473232,324108395
2016,4863525,741456,6941072,2989918,39167117,5539215,3578141,948921,685815,20613477,10301890,1427559,1682380,12820527,6634304,3131371,2910844,4438182,4678135,1331317,6003323,6823608,9950571,5522744,2987938,6087135,1040859,1905616,2917563,1342307,8870827,2091630,19633428,10154788,754434,11634370,3926331,4089976,12782275,1056770,4957968,862996,6646010,27914410,3041868,623657,8410106,7294771,1831023,5772628,584215,3406672,326347983
2017,4874486,739700,7044008,3001345,39358497,5611885,3573297,956823,694906,20963613,10410330,1424393,1717715,12778828,6658078,3141550,2908718,4452268,4670560,1334612,6023868,6859789,9973114,5566230,2988510,6106670,1052482,1915947,2969905,1348787,8885525,2091784,19589572,10268233,754942,11659650,3931316,4143625,12787641,1055673,5021268,872868,6708799,28295273,3101042,624344,8463587,7423362,1817004,5790186,578931,3325286,328310825
2018,4887681,735139,7158024,3009733,39461588,5691287,3571520,965479,701547,21244317,10511131,1420593,1750536,12723071,6695497,3148618,2911359,4461153,4659690,1339057,6035802,6882635,9984072,5606249,2981020,6121623,1060665,1925614,3027341,1353465,8886025,2092741,19530351,10381615,758080,11676341,3940235,4181886,12800922,1058287,5084156,878698,6771631,28628666,3153550,624358,8501286,7523869,1804291,5807406,577601,3193354,329880855
2019,4903185,731545,7278717,3017804,39512223,5758736,3565287,973764,705749,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759,3193694,331433217
2020,5031864,732964,7186683,3014348,39503200,5785219,3577586,991862,670839,21591299,10732390,1451181,1849339,12790357,6789098,3190904,2938124,4508155,4652022,1364517,6173689,6997713,10070627,5710578,2958409,6154426,1087211,1963273,3115840,1378702,9272392,2118488,20104710,10453812,779563,11798292,3965234,4245044,12995477,1096444,5132151,887852,6926091,29234361,3283982,642936,8637193,7724566,1791562,5896700,577664,3281557,334808490
2021,5050380,734923,7272487,3028443,39145060,5811596,3603691,1004881,669037,21830708,10790385,1446745,1904537,12690341,6813798,3197944,2937946,4507600,4627047,1378787,6175045,6991951,10038117,5717968,2949582,6170393,1106366,1964253,3146632,1387494,9269175,2116950,19854526,10567100,777982,11765227,3991634,4256465,13013614,1097092,5193848,896299,6963709,29561286,3339284,647093,8657348,7741433,1785249,5879978,579548,3262693,335311670
2022,5073903,733276,7365684,3046404,39040616,5841039,3608706,1019459,670949,22245521,10913150,1439399,1938996,12582515,6832274,3199693,2936716,4511563,4588023,1389338,6163981,6982740,10033281,5714300,2938928,6177168,1122878,1968060,3177421,1399003,9260817,2113476,19673200,10695965,778912,11759697,4019271,4239379,12972091,1093842,5282955,909869,7048976,30029848,3381236,647110,8679099,7784477,1774035,5890543,581629,3220113,336491524
2023,5108468,733406,7431344,3067732,38965193,5877610,3617176,1031890,678972,22610726,11029227,1435138,1964726,12549689,6862199,3207004,2940546,4526154,4573749,1395722,6180253,7001399,10037261,5737915,2939690,6196156,1132812,1978379,3194176,1402054,9290841,2114371,19571216,10835491,783926,11785935,4053824,4233358,12961683,1095962,5373555,919318,7126489,30503301,3417734,647464,8715698,7812880,1770071,5910955,584057,3205691,338120586
