reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.01,0.0
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.025,0.0
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.05,0.0
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.1,0.0
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.15,286.32015598160797
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.2,535.3096877751045
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.25,752.5304038856588
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.3,958.2284895110115
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.35,1126.231192191109
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.4,1266.6951914635426
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.45,1440.548298452642
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.5,1604.0138528597922
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.55,1749.9667432039903
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.6,1943.2677400150715
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.65,2107.8172154033427
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.7,2252.5969399292712
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.75,2488.188360576468
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.8,2729.444374532428
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.85,2946.549261924683
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.9,3318.7313910548733
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.95,3888.5128875660207
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.975,4275.1467795998315
2024-11-02,wk inc flu hosp,0,2024-11-02,US,quantile,0.99,4699.554108113549
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.01,0.0
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.025,0.0
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.05,0.0
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.1,265.5790242748224
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.15,643.6613451764075
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.2,998.6291606475822
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.25,1244.8354292222016
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.3,1518.3864782172016
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.35,1793.6422358528368
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.4,2043.2563048940783
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.45,2293.5588408193585
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.5,2561.225825665644
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.55,2790.8388508253765
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.6,3000.1926188450198
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.65,3227.5199364952587
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.7,3442.7267265201044
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.75,3753.268598438749
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.8,4018.0208472992767
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.85,4318.491727992731
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.9,4858.560653861785
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.95,5685.0687638347135
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.975,6194.623955803704
2024-11-02,wk inc flu hosp,1,2024-11-09,US,quantile,0.99,6769.878664247322
2024-11-02,wk inc flu hosp,2,2024-11-16,US,quantile,0.01,0.0
2024-11-02,wk inc flu hosp,2,2024-11-16,US,quantile,0.025,0.0
2024-11-02,wk inc flu hosp,2,2024-11-16,US,quantile,0.05,0.0
2024-11-02,wk inc flu hosp,2,2024-11-16,US,quantile,0.1,567.317252667917
