reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.01,1822.5032397068242
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.025,2437.441876507973
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.05,2723.478164270218
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.1,2808.0220334289606
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.15,2899.5018874561597
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.2,2927.4577350187574
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.25,2968.636658152098
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.3,2984.843872462569
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.35,3008.069986601786
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.4,3050.06754426658
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.45,3065.2032527898223
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.5,3081.6228936408816
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.55,3107.3762378883507
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.6,3148.625925017225
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.65,3178.2619791376296
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.7,3216.819909805404
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.75,3249.5307575873844
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.8,3277.271682238565
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.85,3305.866547145657
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.9,3356.330840793695
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.95,3649.0205144819884
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.975,4200.4427225876025
2025-04-26,wk inc flu hosp,0,2025-04-26,US,quantile,0.99,6056.02723533929
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.01,1780.3543393585949
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.025,1800.4132420441258
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.05,2053.3761413930183
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.1,2481.259912069544
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.15,2587.25295760393
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.2,2647.783375571135
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.25,2708.155509535218
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.3,2733.0278252592925
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.35,2750.856205332005
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.4,2784.3083244498557
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.45,2843.2344654689737
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.5,2886.7256439086655
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.55,2955.5599788097284
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.6,3027.434115023098
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.65,3106.4145447959645
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.7,3201.1934819624726
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.75,3310.463830641409
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.8,3381.9345134081755
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.85,3487.499124884889
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.9,3594.260033310706
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.95,3951.098477656494
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.975,4691.212691394785
2025-04-26,wk inc flu hosp,1,2025-05-03,US,quantile,0.99,6520.134187510516
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.01,1561.31311973719
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.025,1724.4572782369705
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.05,1865.4771568882638
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.1,1983.7191348294841
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.15,2135.7086139142166
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.2,2344.57820770944
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.25,2458.525465789269
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.3,2530.839677310333
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.35,2588.023359321404
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.4,2631.920710313935
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.45,2673.9292886746243
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.5,2734.401042347167
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.55,2796.4704560537857
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.6,2870.138919250138
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.65,2996.1296940125835
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.7,3126.9252014265358
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.75,3308.659403259216
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.8,3453.9805649307596
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.85,3620.4185513289262
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.9,3826.0006760640567
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.95,4394.299326417384
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.975,5824.70550085167
2025-04-26,wk inc flu hosp,2,2025-05-10,US,quantile,0.99,6689.9445126472265
2025-04-26,wk inc flu hosp,3,2025-05-17,US,quantile,0.01,1355.6566223141108
2025-04-26,wk inc flu hosp,3,2025-05-17,US,quantile,0.025,1605.684240833454
2025-04-26,wk inc flu hosp,3,2025-05-17,US,quantile,0.05,1729.5643156694734
