reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.01,6848.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.025,10244.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.05,12562.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.1,14403.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.15,15250.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.2,15655.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.25,16041.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.3,16354.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.35,16692.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.4,17030.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.45,17401.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.5,17717.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.55,18003.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.6,18366.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.65,18706.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.7,19022.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.75,19379.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.8,19801.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.85,20438.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.9,21262.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.95,22807.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.975,24724.0
2025-03-15,wk inc flu hosp,0,2025-03-15,US,quantile,0.99,27570.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.01,4422.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.025,6718.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.05,9029.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.1,10591.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.15,11774.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.2,12454.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.25,12985.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.3,13426.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.35,13820.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.4,14292.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.45,14731.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.5,15157.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.55,15578.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.6,15997.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.65,16418.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.7,16863.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.75,17384.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.8,17961.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.85,18721.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.9,19641.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.95,21439.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.975,24075.0
2025-03-15,wk inc flu hosp,1,2025-03-22,US,quantile,0.99,26993.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.01,2646.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.025,4316.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.05,6148.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.1,8169.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.15,9211.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.2,10016.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.25,10691.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.3,11138.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.35,11691.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.4,12193.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.45,12647.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.5,13121.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.55,13608.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.6,14115.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.65,14677.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.7,15187.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.75,15781.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.8,16467.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.85,17399.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.9,18633.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.95,20467.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.975,23429.0
2025-03-15,wk inc flu hosp,2,2025-03-29,US,quantile,0.99,27077.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.01,1521.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.025,2653.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.05,3827.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.1,6016.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.15,7206.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.2,7937.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.25,8636.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.3,9178.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.35,9695.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.4,10165.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.45,10661.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.5,11097.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.55,11629.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.6,12107.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.65,12656.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.7,13191.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.75,13820.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.8,14632.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.85,15549.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.9,16725.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.95,18431.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.975,20476.0
2025-03-15,wk inc flu hosp,3,2025-04-05,US,quantile,0.99,24650.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.01,50.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.025,107.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.05,137.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.1,166.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.15,179.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.2,188.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.25,200.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.3,208.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.35,214.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.4,221.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.45,228.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.5,236.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.55,245.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.6,253.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.65,260.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.7,267.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.75,280.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.8,291.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.85,307.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.9,323.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.95,350.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.975,377.0
2025-03-15,wk inc flu hosp,0,2025-03-15,01,quantile,0.99,417.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.01,12.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.025,24.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.05,61.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.1,92.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.15,114.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.2,130.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.25,142.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.3,156.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.35,168.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.4,177.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.45,187.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.5,196.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.55,203.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.6,214.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.65,224.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.7,236.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.75,249.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.8,264.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.85,282.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.9,301.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.95,340.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.975,388.0
2025-03-15,wk inc flu hosp,1,2025-03-22,01,quantile,0.99,438.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.01,9.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.025,12.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.05,22.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.1,43.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.15,62.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.2,77.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.25,90.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.3,104.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.35,117.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.4,130.0
2025-03-15,wk inc flu hosp,2,2025-03-29,01,quantile,0.45,142.0
