reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.01,55.93
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.025,65.716
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.05,75.953
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.1,88.87
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.15,100.083
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.2,108.233
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.25,114.929
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.3,120.548
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.35,126.81
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.4,132.719
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.45,138.854
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.5,144.609
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.55,152.32
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.6,158.41
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.65,165.357
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.7,172.036
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.75,181.34
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.8,192.63
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.85,207.089
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.9,231.24
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.95,288.569
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.975,346.564
2025-03-01,wk inc flu hosp,0,2025-03-01,01,quantile,0.99,392.244
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.01,23.295
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.025,29.201
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.05,35.052
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.1,43.004
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.15,49.286
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.2,55.209
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.25,59.254
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.3,63.409
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.35,67.278
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.4,71.374
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.45,75.946
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.5,79.759
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.55,84.466
2025-03-01,wk inc flu hosp,1,2025-03-08,01,quantile,0.6,89.154
