reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.01,0.865
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.025,2.644
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.05,3.505
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.1,5.163
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.15,6.234
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.2,7.718
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.25,9.129
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.3,10.645
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.35,12.208
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.4,13.93
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.45,16.122
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.5,18.396
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.55,20.953
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.6,24.556
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.65,27.06
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.7,31.088
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.75,34.407
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.8,40.377
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.85,49.777
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.9,65.013
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.95,89.022
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.975,109.863
2024-11-16,wk inc flu hosp,0,2024-11-16,01,quantile,0.99,151.13
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.01,0.118
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.025,0.275
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.05,0.499
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.1,0.937
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.15,1.473
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.2,2.336
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.25,3.589
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.3,4.841
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.35,6.151
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.4,8.007
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.45,9.955
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.5,12.662
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.55,16.09
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.6,20.119
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.65,25.511
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.7,31.992
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.75,41.007
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.8,49.355
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.85,69.979
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.9,104.903
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.95,164.143
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.975,238.918
2024-11-16,wk inc flu hosp,1,2024-11-23,01,quantile,0.99,328.111
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.01,0.009
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.025,0.028
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.05,0.071
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.1,0.184
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.15,0.347
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.2,0.738
2024-11-16,wk inc flu hosp,2,2024-11-30,01,quantile,0.25,1.33
