reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.01,0.0
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.025,5934.348735986524
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.05,8365.41485298154
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.1,8416.307412879663
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.15,9395.328903318821
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.2,9692.011188655337
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.25,9784.361410873527
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.3,9864.502420931023
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.35,10218.620281362097
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.4,10621.238141525102
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.45,11082.636621768575
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.5,11238.780714757042
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.55,11526.638706420226
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.6,11701.683816629167
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.65,11759.897610846887
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.7,11857.12367326866
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.75,12110.778081164495
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.8,12429.474882888426
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.85,13129.272481025413
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.9,13319.548513902444
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.95,15482.43036126539
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.975,17271.367043189697
2025-03-29,wk inc flu hosp,0,2025-03-29,US,quantile,0.99,17523.344577383807
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.01,0.0
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.025,2268.8818605429406
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.05,5102.200994800282
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.1,6375.582717230858
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.15,6913.546126951032
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.2,7351.769137488499
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.25,7611.988995442449
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.3,7931.607532355226
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.35,8256.14048240874
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.4,8671.82104906406
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.45,8893.439031483353
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.5,9220.250780053808
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.55,9545.318921445547
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.6,9823.305583317162
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.65,10208.653696987883
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.7,10613.428522754222
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.75,10999.806825716181
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.8,11459.19014417906
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.85,12225.798761706317
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.9,13102.443902349161
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.95,14960.548496999052
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.975,15870.389652837503
2025-03-29,wk inc flu hosp,1,2025-04-05,US,quantile,0.99,17850.919185964867
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.01,0.0
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.025,1535.4605927276102
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.05,3203.10187050039
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.1,4804.083301064986
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.15,5312.739341751085
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.2,5772.318426600049
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.25,6036.707407575747
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.3,6386.061480980025
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.35,6700.80382093929
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.4,6930.546084557969
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.45,7268.143863025437
2025-03-29,wk inc flu hosp,2,2025-04-12,US,quantile,0.5,7577.41667000791
