reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.01,1952.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.025,2654.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.05,2916.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.1,3101.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.15,3255.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.2,3370.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.25,3456.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.3,3530.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.35,3585.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.4,3651.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.45,3718.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.5,3795.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.55,3863.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.6,3961.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.65,4030.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.7,4099.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.75,4203.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.8,4324.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.85,4453.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.9,4747.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.95,4984.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.975,5510.0
2024-11-30,wk inc flu hosp,0,2024-11-30,US,quantile,0.99,6407.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.01,1246.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.025,1629.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.05,2005.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.1,2450.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.15,2768.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.2,3059.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.25,3310.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.3,3567.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.35,3807.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.4,4043.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.45,4307.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.5,4585.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.55,4864.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.6,5127.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.65,5443.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.7,5763.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.75,6255.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.8,6785.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.85,7458.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.9,8547.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.95,10480.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.975,11943.0
2024-11-30,wk inc flu hosp,1,2024-12-07,US,quantile,0.99,13615.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.01,1828.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.025,2152.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.05,2586.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.1,3255.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.15,3681.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.2,4031.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.25,4343.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.3,4636.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.35,4926.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.4,5232.0
2024-11-30,wk inc flu hosp,2,2024-12-14,US,quantile,0.45,5555.0
