location,model,horizon,target_date,metric,value
US,historical_drift,0,2023-10-07,dev,44421.04216899997
US,historical_drift,0,2023-10-07,wis,153.60003565217391
US,historical_drift,0,2023-10-14,dev,58244.03024399999
US,historical_drift,0,2023-10-14,wis,147.84311869565218
US,historical_drift,0,2023-10-21,dev,23108.864256000023
US,historical_drift,0,2023-10-21,wis,110.83604173913048
US,historical_drift,0,2023-10-28,dev,46730.333584000015
US,historical_drift,0,2023-10-28,wis,159.00682869565216
US,historical_drift,0,2023-11-04,dev,228438.11430400025
US,historical_drift,0,2023-11-04,wis,285.94363086956525
US,historical_drift,0,2023-11-11,dev,34060.91713600002
US,historical_drift,0,2023-11-11,wis,186.3245960869565
US,historical_drift,0,2023-11-18,dev,10641.98559999997
US,historical_drift,0,2023-11-18,wis,225.27103521739124
US,historical_drift,0,2023-11-25,dev,4360.489156000014
US,historical_drift,0,2023-11-25,wis,501.4403469565218
US,historical_drift,0,2023-12-02,dev,84558.82409999998
US,historical_drift,0,2023-12-02,wis,582.9363913043478
US,historical_drift,0,2023-12-09,dev,31048.55443600005
US,historical_drift,0,2023-12-09,wis,538.0179091304348
US,historical_drift,0,2023-12-16,dev,365687.4878409994
US,historical_drift,0,2023-12-16,wis,762.0894856521741
US,historical_drift,0,2023-12-23,dev,12.510369000001852
US,historical_drift,0,2023-12-23,wis,898.6075095652175
US,historical_drift,0,2023-12-30,dev,12048153.392025
US,historical_drift,0,2023-12-30,wis,2688.2247360869565
US,historical_drift,0,2024-01-06,dev,25011391.29732099
US,historical_drift,0,2024-01-06,wis,3399.239563913044
US,historical_drift,0,2024-01-13,dev,8725347.976899995
US,historical_drift,0,2024-01-13,wis,1614.445772173913
US,historical_drift,0,2024-01-20,dev,15643670.32326399
US,historical_drift,0,2024-01-20,wis,2282.35588173913
US,historical_drift,0,2024-01-27,dev,8846751.973801
US,historical_drift,0,2024-01-27,wis,1696.890614347826
US,historical_drift,0,2024-02-03,dev,17620.969536000157
US,historical_drift,0,2024-02-03,wis,516.7209882608698
