reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.01,9.424
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.025,188.443
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.05,289.36
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.1,366.724
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.15,426.153
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.2,459.866
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.25,488.461
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.3,515.642
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.35,542.727
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.4,567.312
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.45,588.335
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.5,611.305
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.55,630.199
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.6,657.133
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.65,678.961
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.7,698.302
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.75,721.127
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.8,749.431
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.85,783.851
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.9,827.563
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.95,888.8
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.975,913.94
2025-02-15,wk inc flu hosp,0,2025-02-15,01,quantile,0.99,975.585
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.01,0.0
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.025,0.0
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.05,10.236
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.1,157.838
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.15,226.982
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.2,293.545
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.25,336.203
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.3,394.346
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.35,434.975
2025-02-15,wk inc flu hosp,1,2025-02-22,01,quantile,0.4,480.217
